City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,quellon,-43.1167,-73.6167,2.140000000000043,100,0,2.06,CL,2023-05-26
185,lazaro cardenas,17.9583,-102.2,27.600000000000023,74,100,0.54,MX,2023-05-26
186,palikir - national government center,6.9248,158.1611,28.410000000000025,79,75,2.57,FM,2023-05-26
187,dawei,14.0833,98.2,32.80000000000001,53,30,4.87,MM,2023-05-26
188,saudarkrokur,65.7461,-19.6394,5.810000000000002,74,100,5.47,IS,2023-05-26
189,xinzhi,36.4989,111.7047,23.180000000000007,43,100,4.28,CN,2023-05-26
190,mezhdurechenskiy,59.6,65.9333,23.33000000000004,32,19,3.24,RU,2023-05-26
191,aioun,16.6614,-9.6149,30.840000000000032,30,95,6.41,MR,2023-05-26
192,iskateley,67.6803,53.1512,15.650000000000034,89,100,6.85,RU,2023-05-26
193,lewistown,40.5992,-77.5714,8.78000000000003,79,0,0.0,US,2023-05-26
194,palmas,-10.2128,-48.3603,22.930000000000007,83,40,3.09,BR,2023-05-26
195,luderitz,-26.6481,15.1594,11.640000000000043,64,4,3.96,NA,2023-05-26
196,yei,4.095,30.6779,28.74000000000001,52,52,4.2,SS,2023-05-26
197,gangtok,27.3333,88.6167,18.939999999999998,80,63,2.21,IN,2023-05-26
198,hermanus,-34.4187,19.2345,13.78000000000003,70,72,4.1,ZA,2023-05-26
199,tofol,5.3248,163.0078,27.700000000000045,79,43,3.8,FM,2023-05-26
200,siverskiy,59.3544,30.0783,15.050000000000011,38,16,3.28,RU,2023-05-26
201,lae,-6.7221,146.9847,28.370000000000005,79,13,2.97,PG,2023-05-26
202,haiku-pauwela,20.9219,-156.3051,23.360000000000014,80,0,4.02,US,2023-05-26
203,bilibino,68.0546,166.4372,13.900000000000034,28,80,1.15,RU,2023-05-26
204,queenstown,-31.8976,26.8753,7.890000000000043,55,6,8.5,ZA,2023-05-26
205,hammerfest,70.6634,23.6821,5.25,75,75,6.69,NO,2023-05-26
206,codrington,-38.2667,141.9667,12.32000000000005,73,100,6.79,AU,2023-05-26
207,orchomenos,38.4929,22.9796,22.260000000000048,53,20,2.77,GR,2023-05-26
208,vila velha,-20.3297,-40.2925,20.53000000000003,98,75,1.03,BR,2023-05-26
209,ixtapa,20.7,-105.2,25.129999999999995,66,21,1.07,MX,2023-05-26
210,ljusdal,61.8288,16.0913,9.25,41,5,6.15,SE,2023-05-26
211,lubang,13.8584,120.124,29.0,71,10,0.7,PH,2023-05-26
212,tolanaro,-25.0319,46.9987,23.04000000000002,73,75,4.12,MG,2023-05-26
